No,epp,epw,dens,vp,upp,upw,alfa/*,p
69,0.035,0.018,28.33,0.177,0.136,1.066,36.76,13.13
70,0.052,0.031,29.09,0.112,0.074,1.894,28.74,13.79
71,0.026,0.006,16.67,0.427,0.044,1.187,28.77,7.86
72,0.094,0.056,21.82,0.266,0.088,0.54,38.72,10.34
73,0.039,0.019,29.7,0.411,0.12,1.813,35.47,13.7
74,0.015,0.068,29.55,0.258,0.099,1.611,33.3,13.88
75,0.004,0.059,15.61,0.355,0.06,1.571,30.56,7.35
76,0.038,0.058,27.73,0.347,0.065,2.5,34.66,13.14
77,0.062,0.062,20.45,0.124,0.034,0.742,27.4,9.97
78,0.09,0.017,25.61,0.439,0.095,2.157,39.33,11.91
79,0.086,0.052,18.79,0.314,0.052,2.46,31.72,8.83
80,0.013,0.023,18.33,0.173,0.058,2.217,35.41,8.66
81,0.082,0.09,17.88,0.201,0.132,1.086,0,0
82,0.076,0.013,26.97,0.149,0.047,0.884,27.41,13.06
83,0.098,0.096,23.64,0.31,0.072,1.652,35.45,11.16
84,0.005,0.081,19.7,0.189,0.067,0.621,32.53,9.42
85,0.043,0.03,18.94,0.5,0.112,1.449,0,0
86,0.067,0.08,19.55,0.448,0.133,0.924,40.57,9.1
87,0.046,0.047,22.88,0.407,0.143,2.419,40.97,10.28
88,0.003,0.05,28.18,0.403,0.027,1.409,25.66,13.64
89,0.048,0.098,17.12,0.314,0.069,1.005,33.8,8.05
90,0.063,0.01,15.15,0.246,0.036,1.914,30.12,7.25
91,0.059,0.032,30,0.306,0.02,1.672,26.11,14.6
92,0.066,0.073,26.52,0.225,0.149,0.864,42.04,12.12
93,0.089,0.083,19.39,0.472,0.105,2.177,34.69,8.63
94,0.073,0,25,0.383,0.064,1.106,35.1,11.91
95,0.011,0.086,25.45,0.399,0.101,0.783,36.59,11.96
96,0.061,0.029,18.03,0.185,0.123,2.379,0,0
97,0.049,0.004,21.06,0.104,0.092,1.49,35.9,9.83
98,0.099,0.048,27.58,0.241,0.057,2.258,37.61,13.16
99,0.079,0.091,17.42,0.169,0.038,1.732,26.22,8.34
100,0.009,0.094,23.33,0.359,0.041,1.975,28.29,11.16
